Date,Time,Building,Floor,Carbon Emissions (kg CO₂),Source Type
10/1/2024,12:00,ECSW UTD,2,5.68,HVAC
10/1/2024,12:00,ECSW UTD,2,1.96,Lighting
10/1/2024,12:00,ECSW UTD,2,3.5,Computing
10/1/2024,12:00,ECSW UTD,2,4.18,Refrigeration
10/1/2024,12:00,ECSW UTD,2,1.18,Office Equipment
10/1/2024,12:00,ECSW UTD,3,5.18,HVAC
10/1/2024,12:00,ECSW UTD,3,2.77,Lighting
10/1/2024,12:00,ECSW UTD,3,2.98,Computing
10/1/2024,12:00,ECSW UTD,3,4.78,Refrigeration
10/1/2024,12:00,ECSW UTD,3,0.19,Office Equipment
10/1/2024,12:00,ECSW UTD,4,5.41,HVAC
10/1/2024,12:00,ECSW UTD,4,2.04,Lighting
10/1/2024,12:00,ECSW UTD,4,2.85,Computing
10/1/2024,12:00,ECSW UTD,4,4.05,Refrigeration
10/1/2024,12:00,ECSW UTD,4,0.51,Office Equipment
10/1/2024,13:00,ECSW UTD,1,4.89,HVAC
10/1/2024,13:00,ECSW UTD,1,2.18,Lighting
10/1/2024,13:00,ECSW UTD,1,3.74,Computing
10/1/2024,13:00,ECSW UTD,1,3.74,Refrigeration
10/1/2024,13:00,ECSW UTD,1,1.1,Office Equipment
10/1/2024,13:00,ECSW UTD,2,4.75,HVAC
10/1/2024,13:00,ECSW UTD,2,2.46,Lighting
10/1/2024,13:00,ECSW UTD,2,3.16,Computing
10/1/2024,13:00,ECSW UTD,2,3.74,Refrigeration
10/1/2024,13:00,ECSW UTD,2,1.76,Office Equipment
10/1/2024,13:00,ECSW UTD,3,5.05,HVAC
10/1/2024,13:00,ECSW UTD,3,2.48,Lighting
10/1/2024,13:00,ECSW UTD,3,2.65,Computing
10/1/2024,13:00,ECSW UTD,3,3.84,Refrigeration
10/1/2024,13:00,ECSW UTD,3,1.3,Office Equipment
10/1/2024,13:00,ECSW UTD,4,4.27,HVAC
10/1/2024,13:00,ECSW UTD,4,2.15,Lighting
10/1/2024,13:00,ECSW UTD,4,3.13,Computing
10/1/2024,13:00,ECSW UTD,4,4,Refrigeration
10/1/2024,13:00,ECSW UTD,4,1.38,Office Equipment
10/1/2024,14:00,ECSW UTD,1,4.29,HVAC
10/1/2024,14:00,ECSW UTD,1,1.79,Lighting
10/1/2024,14:00,ECSW UTD,1,2.83,Computing
10/1/2024,14:00,ECSW UTD,1,3.6,Refrigeration
10/1/2024,14:00,ECSW UTD,1,1.42,Office Equipment
10/1/2024,14:00,ECSW UTD,2,5.2,HVAC
10/1/2024,14:00,ECSW UTD,2,2.94,Lighting
10/1/2024,14:00,ECSW UTD,2,3.09,Computing
10/1/2024,14:00,ECSW UTD,2,4.13,Refrigeration
10/1/2024,14:00,ECSW UTD,2,1.46,Office Equipment
10/1/2024,14:00,ECSW UTD,3,4.04,HVAC
10/1/2024,14:00,ECSW UTD,3,1.99,Lighting
10/1/2024,14:00,ECSW UTD,3,3.03,Computing
10/1/2024,14:00,ECSW UTD,3,5.23,Refrigeration
10/1/2024,14:00,ECSW UTD,3,1.4,Office Equipment
10/1/2024,14:00,ECSW UTD,4,5.15,HVAC
10/1/2024,14:00,ECSW UTD,4,1.98,Lighting
10/1/2024,14:00,ECSW UTD,4,2.42,Computing
10/1/2024,14:00,ECSW UTD,4,4.57,Refrigeration
10/1/2024,14:00,ECSW UTD,4,1.88,Office Equipment
10/1/2024,15:00,ECSW UTD,1,5.4,HVAC
10/1/2024,15:00,ECSW UTD,1,1.55,Lighting
10/1/2024,15:00,ECSW UTD,1,3.7,Computing
10/1/2024,15:00,ECSW UTD,1,3.3,Refrigeration
10/1/2024,15:00,ECSW UTD,1,1.79,Office Equipment
10/1/2024,15:00,ECSW UTD,2,6.1,HVAC
10/1/2024,15:00,ECSW UTD,2,1.5,Lighting
10/1/2024,15:00,ECSW UTD,2,2.72,Computing
10/1/2024,15:00,ECSW UTD,2,4.05,Refrigeration
10/1/2024,15:00,ECSW UTD,2,1.25,Office Equipment
10/1/2024,15:00,ECSW UTD,3,4.22,HVAC
10/1/2024,15:00,ECSW UTD,3,2.03,Lighting
10/1/2024,15:00,ECSW UTD,3,2.47,Computing
10/1/2024,15:00,ECSW UTD,3,4.24,Refrigeration
10/1/2024,15:00,ECSW UTD,3,1.04,Office Equipment
10/1/2024,15:00,ECSW UTD,4,5.77,HVAC
10/1/2024,15:00,ECSW UTD,4,1.61,Lighting
10/1/2024,15:00,ECSW UTD,4,2.84,Computing
10/1/2024,15:00,ECSW UTD,4,4.41,Refrigeration
10/1/2024,15:00,ECSW UTD,4,0.88,Office Equipment
10/1/2024,16:00,ECSW UTD,1,5.11,HVAC
10/1/2024,16:00,ECSW UTD,1,2.65,Lighting
10/1/2024,16:00,ECSW UTD,1,2.2,Computing
10/1/2024,16:00,ECSW UTD,1,4.09,Refrigeration
10/1/2024,16:00,ECSW UTD,1,1.63,Office Equipment
10/1/2024,16:00,ECSW UTD,2,5.39,HVAC
10/1/2024,16:00,ECSW UTD,2,1.38,Lighting
10/1/2024,16:00,ECSW UTD,2,2.34,Computing
10/1/2024,16:00,ECSW UTD,2,4.26,Refrigeration
10/1/2024,16:00,ECSW UTD,2,1.65,Office Equipment
10/1/2024,16:00,ECSW UTD,3,5.13,HVAC
10/1/2024,16:00,ECSW UTD,3,2.17,Lighting
10/1/2024,16:00,ECSW UTD,3,2.66,Computing
10/1/2024,16:00,ECSW UTD,3,4.12,Refrigeration
10/1/2024,16:00,ECSW UTD,3,1.65,Office Equipment
10/1/2024,16:00,ECSW UTD,4,4.64,HVAC
10/1/2024,16:00,ECSW UTD,4,2.93,Lighting
10/1/2024,16:00,ECSW UTD,4,3.24,Computing
10/1/2024,16:00,ECSW UTD,4,3.4,Refrigeration
10/1/2024,16:00,ECSW UTD,4,1.83,Office Equipment
10/1/2024,17:00,ECSW UTD,1,4.51,HVAC
10/1/2024,17:00,ECSW UTD,1,2.39,Lighting
10/1/2024,17:00,ECSW UTD,1,3.58,Computing
10/1/2024,17:00,ECSW UTD,1,3.59,Refrigeration
10/1/2024,17:00,ECSW UTD,1,1.98,Office Equipment
10/1/2024,17:00,ECSW UTD,2,5.21,HVAC
10/1/2024,17:00,ECSW UTD,2,2.41,Lighting
10/1/2024,17:00,ECSW UTD,2,3.95,Computing
10/1/2024,17:00,ECSW UTD,2,3.88,Refrigeration
10/1/2024,17:00,ECSW UTD,2,1.12,Office Equipment
10/1/2024,17:00,ECSW UTD,3,4.56,HVAC
10/1/2024,17:00,ECSW UTD,3,1.59,Lighting
10/1/2024,17:00,ECSW UTD,3,2.96,Computing
10/1/2024,17:00,ECSW UTD,3,4.17,Refrigeration
10/1/2024,17:00,ECSW UTD,3,1.64,Office Equipment
10/1/2024,17:00,ECSW UTD,4,5.41,HVAC
10/1/2024,17:00,ECSW UTD,4,2.01,Lighting
10/1/2024,17:00,ECSW UTD,4,3.73,Computing
10/1/2024,17:00,ECSW UTD,4,3.87,Refrigeration
10/1/2024,17:00,ECSW UTD,4,2.86,Office Equipment
10/2/2024,9:00,ECSW UTD,1,5.31,HVAC
10/2/2024,9:00,ECSW UTD,1,1.57,Lighting
10/2/2024,9:00,ECSW UTD,1,2.46,Computing
10/2/2024,9:00,ECSW UTD,1,4.24,Refrigeration
10/2/2024,9:00,ECSW UTD,1,1.39,Office Equipment
10/2/2024,9:00,ECSW UTD,2,5.36,HVAC
10/2/2024,9:00,ECSW UTD,2,2.24,Lighting
10/2/2024,9:00,ECSW UTD,2,2.96,Computing
10/2/2024,9:00,ECSW UTD,2,3.58,Refrigeration
10/2/2024,9:00,ECSW UTD,2,0.74,Office Equipment
10/2/2024,9:00,ECSW UTD,3,4.78,HVAC
10/2/2024,9:00,ECSW UTD,3,2.43,Lighting
10/2/2024,9:00,ECSW UTD,3,3.11,Computing
10/2/2024,9:00,ECSW UTD,3,3.38,Refrigeration
10/2/2024,9:00,ECSW UTD,3,1.59,Office Equipment
10/2/2024,9:00,ECSW UTD,4,5.19,HVAC
10/2/2024,9:00,ECSW UTD,4,1.56,Lighting
10/2/2024,9:00,ECSW UTD,4,3.08,Computing
10/2/2024,9:00,ECSW UTD,4,4.03,Refrigeration
10/2/2024,9:00,ECSW UTD,4,0.93,Office Equipment
10/2/2024,10:00,ECSW UTD,1,5.18,HVAC
10/2/2024,10:00,ECSW UTD,1,2.28,Lighting
10/2/2024,10:00,ECSW UTD,1,3.54,Computing
10/2/2024,10:00,ECSW UTD,1,4.53,Refrigeration
10/2/2024,10:00,ECSW UTD,1,0.81,Office Equipment
10/2/2024,10:00,ECSW UTD,2,4.53,HVAC
10/2/2024,10:00,ECSW UTD,2,2.26,Lighting
10/2/2024,10:00,ECSW UTD,2,3.26,Computing
10/2/2024,10:00,ECSW UTD,2,4.26,Refrigeration
10/2/2024,10:00,ECSW UTD,2,3.43,Office Equipment
10/2/2024,10:00,ECSW UTD,3,5.29,HVAC
10/2/2024,10:00,ECSW UTD,3,2.57,Lighting
10/2/2024,10:00,ECSW UTD,3,3.48,Computing
10/2/2024,10:00,ECSW UTD,3,4.33,Refrigeration
10/2/2024,10:00,ECSW UTD,3,1.34,Office Equipment
10/2/2024,10:00,ECSW UTD,4,5.38,HVAC
10/2/2024,10:00,ECSW UTD,4,1.61,Lighting
10/2/2024,10:00,ECSW UTD,4,2.88,Computing
10/2/2024,10:00,ECSW UTD,4,3.76,Refrigeration
10/2/2024,10:00,ECSW UTD,4,1.54,Office Equipment
10/2/2024,11:00,ECSW UTD,1,6.16,HVAC
10/2/2024,11:00,ECSW UTD,1,1.07,Lighting
10/2/2024,11:00,ECSW UTD,1,3.34,Computing
10/2/2024,11:00,ECSW UTD,1,3.19,Refrigeration
10/2/2024,11:00,ECSW UTD,1,1.26,Office Equipment
10/2/2024,11:00,ECSW UTD,2,5.54,HVAC
10/2/2024,11:00,ECSW UTD,2,2.03,Lighting
10/2/2024,11:00,ECSW UTD,2,2.46,Computing
10/2/2024,11:00,ECSW UTD,2,3.64,Refrigeration
10/2/2024,11:00,ECSW UTD,2,1.84,Office Equipment
10/2/2024,11:00,ECSW UTD,3,4.63,HVAC
10/2/2024,11:00,ECSW UTD,3,2.11,Lighting
10/2/2024,11:00,ECSW UTD,3,3.02,Computing
10/2/2024,11:00,ECSW UTD,3,3.67,Refrigeration
10/2/2024,11:00,ECSW UTD,3,2.57,Office Equipment
10/2/2024,11:00,ECSW UTD,4,5.32,HVAC
10/2/2024,11:00,ECSW UTD,4,0.99,Lighting
10/2/2024,11:00,ECSW UTD,4,3.09,Computing
10/2/2024,11:00,ECSW UTD,4,3.67,Refrigeration
10/2/2024,11:00,ECSW UTD,4,1.93,Office Equipment
10/2/2024,12:00,ECSW UTD,1,4.6,HVAC
10/2/2024,12:00,ECSW UTD,1,1.94,Lighting
10/2/2024,12:00,ECSW UTD,1,3.25,Computing
10/2/2024,12:00,ECSW UTD,1,4.43,Refrigeration
10/2/2024,12:00,ECSW UTD,1,0.9,Office Equipment
10/2/2024,12:00,ECSW UTD,2,4.83,HVAC
10/2/2024,12:00,ECSW UTD,2,1.76,Lighting
10/2/2024,12:00,ECSW UTD,2,2.67,Computing
10/2/2024,12:00,ECSW UTD,2,4.88,Refrigeration
10/2/2024,12:00,ECSW UTD,2,1.7,Office Equipment
10/2/2024,12:00,ECSW UTD,3,4.37,HVAC
10/2/2024,12:00,ECSW UTD,3,2.46,Lighting
10/2/2024,12:00,ECSW UTD,3,4.06,Computing
10/2/2024,12:00,ECSW UTD,3,4.52,Refrigeration
10/2/2024,12:00,ECSW UTD,3,0.74,Office Equipment
10/2/2024,12:00,ECSW UTD,4,4.76,HVAC
10/2/2024,12:00,ECSW UTD,4,2.63,Lighting
10/2/2024,12:00,ECSW UTD,4,2.65,Computing
10/2/2024,12:00,ECSW UTD,4,4.22,Refrigeration
10/2/2024,12:00,ECSW UTD,4,1.89,Office Equipment
10/2/2024,13:00,ECSW UTD,1,4.54,HVAC
10/2/2024,13:00,ECSW UTD,1,1.97,Lighting
10/2/2024,13:00,ECSW UTD,1,1.38,Computing
10/2/2024,13:00,ECSW UTD,1,3.49,Refrigeration
10/2/2024,13:00,ECSW UTD,1,1.37,Office Equipment
10/2/2024,13:00,ECSW UTD,2,4.38,HVAC
10/2/2024,13:00,ECSW UTD,2,2.82,Lighting
10/2/2024,13:00,ECSW UTD,2,2.28,Computing
10/2/2024,13:00,ECSW UTD,2,3.78,Refrigeration
10/2/2024,13:00,ECSW UTD,2,1.57,Office Equipment
10/2/2024,13:00,ECSW UTD,3,5.72,HVAC
10/2/2024,13:00,ECSW UTD,3,1.28,Lighting
10/2/2024,13:00,ECSW UTD,3,3.58,Computing
10/2/2024,13:00,ECSW UTD,3,4.01,Refrigeration
10/2/2024,13:00,ECSW UTD,3,1.01,Office Equipment
10/2/2024,13:00,ECSW UTD,4,5.23,HVAC
10/2/2024,13:00,ECSW UTD,4,2.1,Lighting
10/2/2024,13:00,ECSW UTD,4,2.7,Computing
10/2/2024,13:00,ECSW UTD,4,4.03,Refrigeration
10/2/2024,13:00,ECSW UTD,4,1.31,Office Equipment
10/2/2024,14:00,ECSW UTD,1,5.06,HVAC
10/2/2024,14:00,ECSW UTD,1,2.33,Lighting
10/2/2024,14:00,ECSW UTD,1,3.79,Computing
10/2/2024,14:00,ECSW UTD,1,3.38,Refrigeration
10/2/2024,14:00,ECSW UTD,1,2.57,Office Equipment
10/2/2024,14:00,ECSW UTD,2,4.02,HVAC
10/2/2024,14:00,ECSW UTD,2,1.92,Lighting
10/2/2024,14:00,ECSW UTD,2,3.29,Computing
10/2/2024,14:00,ECSW UTD,2,4.14,Refrigeration
10/2/2024,14:00,ECSW UTD,2,1.19,Office Equipment
10/2/2024,14:00,ECSW UTD,3,4.9,HVAC
10/2/2024,14:00,ECSW UTD,3,1.75,Lighting
10/2/2024,14:00,ECSW UTD,3,2.71,Computing
10/2/2024,14:00,ECSW UTD,3,4.42,Refrigeration
10/2/2024,14:00,ECSW UTD,3,1.68,Office Equipment
10/2/2024,14:00,ECSW UTD,4,4.65,HVAC
10/2/2024,14:00,ECSW UTD,4,2.45,Lighting
10/2/2024,14:00,ECSW UTD,4,3.15,Computing
10/2/2024,14:00,ECSW UTD,4,4.41,Refrigeration
10/2/2024,14:00,ECSW UTD,4,1.81,Office Equipment
10/2/2024,15:00,ECSW UTD,1,4.59,HVAC
10/2/2024,15:00,ECSW UTD,1,1.72,Lighting
10/2/2024,15:00,ECSW UTD,1,3.37,Computing
10/2/2024,15:00,ECSW UTD,1,4.31,Refrigeration
10/2/2024,15:00,ECSW UTD,1,1.49,Office Equipment
10/2/2024,15:00,ECSW UTD,2,5.06,HVAC
10/2/2024,15:00,ECSW UTD,2,2.64,Lighting
10/2/2024,15:00,ECSW UTD,2,2.7,Computing
10/2/2024,15:00,ECSW UTD,2,4.27,Refrigeration
10/2/2024,15:00,ECSW UTD,2,1.4,Office Equipment
10/2/2024,15:00,ECSW UTD,3,4.89,HVAC
10/2/2024,15:00,ECSW UTD,3,2.55,Lighting
10/2/2024,15:00,ECSW UTD,3,3.41,Computing
10/2/2024,15:00,ECSW UTD,3,4.41,Refrigeration
10/2/2024,15:00,ECSW UTD,3,2.15,Office Equipment
10/2/2024,15:00,ECSW UTD,4,5.01,HVAC
10/2/2024,15:00,ECSW UTD,4,2.34,Lighting
10/2/2024,15:00,ECSW UTD,4,2.84,Computing
10/2/2024,15:00,ECSW UTD,4,4.16,Refrigeration
10/2/2024,15:00,ECSW UTD,4,1.43,Office Equipment
10/2/2024,16:00,ECSW UTD,1,5.05,HVAC
10/2/2024,16:00,ECSW UTD,1,2.3,Lighting
10/2/2024,16:00,ECSW UTD,1,2.59,Computing
10/2/2024,16:00,ECSW UTD,1,5.05,Refrigeration
10/2/2024,16:00,ECSW UTD,1,1,Office Equipment
10/2/2024,16:00,ECSW UTD,2,4.39,HVAC
10/2/2024,16:00,ECSW UTD,2,2.58,Lighting
10/2/2024,16:00,ECSW UTD,2,3.4,Computing
10/2/2024,16:00,ECSW UTD,2,4.31,Refrigeration
10/2/2024,16:00,ECSW UTD,2,1.81,Office Equipment
10/2/2024,16:00,ECSW UTD,3,4.99,HVAC
10/2/2024,16:00,ECSW UTD,3,1.55,Lighting
10/2/2024,16:00,ECSW UTD,3,3.04,Computing
10/2/2024,16:00,ECSW UTD,3,3.66,Refrigeration
10/2/2024,16:00,ECSW UTD,3,1.99,Office Equipment
10/2/2024,16:00,ECSW UTD,4,4.93,HVAC
10/2/2024,16:00,ECSW UTD,4,1.59,Lighting
10/2/2024,16:00,ECSW UTD,4,2.84,Computing
10/2/2024,16:00,ECSW UTD,4,4.21,Refrigeration
10/2/2024,16:00,ECSW UTD,4,1.22,Office Equipment
10/2/2024,17:00,ECSW UTD,1,4.59,HVAC
10/2/2024,17:00,ECSW UTD,1,2.12,Lighting
10/2/2024,17:00,ECSW UTD,1,3.12,Computing
10/2/2024,17:00,ECSW UTD,1,3.75,Refrigeration
10/2/2024,17:00,ECSW UTD,1,1.26,Office Equipment
10/2/2024,17:00,ECSW UTD,2,5.12,HVAC
10/2/2024,17:00,ECSW UTD,2,1.28,Lighting
10/2/2024,17:00,ECSW UTD,2,2.3,Computing
10/2/2024,17:00,ECSW UTD,2,3.64,Refrigeration
10/2/2024,17:00,ECSW UTD,2,1.39,Office Equipment
10/2/2024,17:00,ECSW UTD,3,5.16,HVAC
10/2/2024,17:00,ECSW UTD,3,2.74,Lighting
10/2/2024,17:00,ECSW UTD,3,3.43,Computing
10/2/2024,17:00,ECSW UTD,3,3.92,Refrigeration
10/2/2024,17:00,ECSW UTD,3,1.49,Office Equipment
10/2/2024,17:00,ECSW UTD,4,4.5,HVAC
10/2/2024,17:00,ECSW UTD,4,1.99,Lighting
10/2/2024,17:00,ECSW UTD,4,2.86,Computing
10/2/2024,17:00,ECSW UTD,4,4.16,Refrigeration
10/2/2024,17:00,ECSW UTD,4,1.09,Office Equipment
10/3/2024,9:00,ECSW UTD,1,5.26,HVAC
10/3/2024,9:00,ECSW UTD,1,2.77,Lighting
10/3/2024,9:00,ECSW UTD,1,2.95,Computing
10/3/2024,9:00,ECSW UTD,1,4.2,Refrigeration
10/3/2024,9:00,ECSW UTD,1,1.85,Office Equipment
10/3/2024,9:00,ECSW UTD,2,4.8,HVAC
10/3/2024,9:00,ECSW UTD,2,2.11,Lighting
10/3/2024,9:00,ECSW UTD,2,3.01,Computing
10/3/2024,9:00,ECSW UTD,2,4.05,Refrigeration
10/3/2024,9:00,ECSW UTD,2,1.11,Office Equipment
10/3/2024,9:00,ECSW UTD,3,5.01,HVAC
10/3/2024,9:00,ECSW UTD,3,2.25,Lighting
10/3/2024,9:00,ECSW UTD,3,3.73,Computing
10/3/2024,9:00,ECSW UTD,3,4.48,Refrigeration
10/3/2024,9:00,ECSW UTD,3,2.58,Office Equipment
10/3/2024,9:00,ECSW UTD,4,4.62,HVAC
10/3/2024,9:00,ECSW UTD,4,2.44,Lighting
10/3/2024,9:00,ECSW UTD,4,3.09,Computing
10/3/2024,9:00,ECSW UTD,4,5.09,Refrigeration
10/3/2024,9:00,ECSW UTD,4,1.1,Office Equipment
10/3/2024,10:00,ECSW UTD,1,4.58,HVAC
10/3/2024,10:00,ECSW UTD,1,1.7,Lighting
10/3/2024,10:00,ECSW UTD,1,1.94,Computing
10/3/2024,10:00,ECSW UTD,1,3.74,Refrigeration
10/3/2024,10:00,ECSW UTD,1,1.12,Office Equipment
10/3/2024,10:00,ECSW UTD,2,5.08,HVAC
10/3/2024,10:00,ECSW UTD,2,2.17,Lighting
10/3/2024,10:00,ECSW UTD,2,3.94,Computing
10/3/2024,10:00,ECSW UTD,2,4.48,Refrigeration
10/3/2024,10:00,ECSW UTD,2,1.21,Office Equipment
10/3/2024,10:00,ECSW UTD,3,4.55,HVAC
10/3/2024,10:00,ECSW UTD,3,2.25,Lighting
10/3/2024,10:00,ECSW UTD,3,2.34,Computing
10/3/2024,10:00,ECSW UTD,3,4.92,Refrigeration
10/3/2024,10:00,ECSW UTD,3,2.09,Office Equipment
10/3/2024,10:00,ECSW UTD,4,4.77,HVAC
10/3/2024,10:00,ECSW UTD,4,1.14,Lighting
10/3/2024,10:00,ECSW UTD,4,3.68,Computing
10/3/2024,10:00,ECSW UTD,4,3.94,Refrigeration
10/3/2024,10:00,ECSW UTD,4,2.12,Office Equipment
10/3/2024,11:00,ECSW UTD,1,4.2,HVAC
10/3/2024,11:00,ECSW UTD,1,1.7,Lighting
10/3/2024,11:00,ECSW UTD,1,3,Computing
10/3/2024,11:00,ECSW UTD,1,4.02,Refrigeration
10/3/2024,11:00,ECSW UTD,1,1.27,Office Equipment
10/3/2024,11:00,ECSW UTD,2,5.31,HVAC
10/3/2024,11:00,ECSW UTD,2,1.47,Lighting
10/3/2024,11:00,ECSW UTD,2,2.93,Computing
10/3/2024,11:00,ECSW UTD,2,4.06,Refrigeration
10/3/2024,11:00,ECSW UTD,2,1.76,Office Equipment
10/3/2024,11:00,ECSW UTD,3,5.36,HVAC
10/3/2024,11:00,ECSW UTD,3,1.44,Lighting
10/3/2024,11:00,ECSW UTD,3,2.23,Computing
10/3/2024,11:00,ECSW UTD,3,4.64,Refrigeration
10/3/2024,11:00,ECSW UTD,3,1.67,Office Equipment
10/3/2024,11:00,ECSW UTD,4,4.63,HVAC
10/3/2024,11:00,ECSW UTD,4,2.78,Lighting
10/3/2024,11:00,ECSW UTD,4,3.06,Computing
10/3/2024,11:00,ECSW UTD,4,4.59,Refrigeration
10/3/2024,11:00,ECSW UTD,4,1.53,Office Equipment
10/3/2024,12:00,ECSW UTD,1,6.03,HVAC
10/3/2024,12:00,ECSW UTD,1,2.88,Lighting
10/3/2024,12:00,ECSW UTD,1,2.88,Computing
10/3/2024,12:00,ECSW UTD,1,4.49,Refrigeration
10/3/2024,12:00,ECSW UTD,1,1.82,Office Equipment
10/3/2024,12:00,ECSW UTD,2,5.68,HVAC
10/3/2024,12:00,ECSW UTD,2,1.52,Lighting
10/3/2024,12:00,ECSW UTD,2,3.34,Computing
10/3/2024,12:00,ECSW UTD,2,4.53,Refrigeration
10/3/2024,12:00,ECSW UTD,2,0.62,Office Equipment
10/3/2024,12:00,ECSW UTD,3,4.41,HVAC
10/3/2024,12:00,ECSW UTD,3,0.98,Lighting
10/3/2024,12:00,ECSW UTD,3,2.87,Computing
10/3/2024,12:00,ECSW UTD,3,4.36,Refrigeration
10/3/2024,12:00,ECSW UTD,3,2.25,Office Equipment
10/3/2024,12:00,ECSW UTD,4,5.04,HVAC
10/3/2024,12:00,ECSW UTD,4,2.81,Lighting
10/3/2024,12:00,ECSW UTD,4,2.31,Computing
10/3/2024,12:00,ECSW UTD,4,3.15,Refrigeration
10/3/2024,12:00,ECSW UTD,4,1.47,Office Equipment
10/3/2024,13:00,ECSW UTD,1,5.19,HVAC
10/3/2024,13:00,ECSW UTD,1,1.98,Lighting
10/3/2024,13:00,ECSW UTD,1,1.97,Computing
10/3/2024,13:00,ECSW UTD,1,3.96,Refrigeration
10/3/2024,13:00,ECSW UTD,1,0.85,Office Equipment
10/3/2024,13:00,ECSW UTD,2,5.33,HVAC
10/3/2024,13:00,ECSW UTD,2,2.18,Lighting
10/3/2024,13:00,ECSW UTD,2,2.53,Computing
10/3/2024,13:00,ECSW UTD,2,3.74,Refrigeration
10/3/2024,13:00,ECSW UTD,2,0.97,Office Equipment
10/3/2024,13:00,ECSW UTD,3,4.97,HVAC
10/3/2024,13:00,ECSW UTD,3,2.48,Lighting
10/3/2024,13:00,ECSW UTD,3,2.51,Computing
10/3/2024,13:00,ECSW UTD,3,4.25,Refrigeration
10/3/2024,13:00,ECSW UTD,3,1.23,Office Equipment
